Year,biology,business,computervision,computers,health,humanities,nutrition,simulation,socialsocioeconomic,a.1other,binary,multiclass,multilabel,continuous,a.2other,cnn,dcn,dff,dnn,dqn,gan,lstm,rnn,vae,b.1other,linear,nonlinear,bagging,boosting,stacking,b.1.4other,classificationsu,regression,b.2.1.3other,association,clusteringun,dr,classificationse,clusteringse,classificationre,control,input,model,output,blackbox,whitebox,2d,3d,computed,mapped,aggregatedinformation,instancebased,barcharts,boxplots,matrix,glyphs,gridbased,heatmaps,histograms,icicle,linecharts,nodelink,pcp,pixelbased,radial,splom,scatterplots,similarity,tables,treemaps,e.4other,select,explore,reconfigure,encode,filter,abstract,connect,guide,verbalize,color,opacity,position,shape,size,texture,standard,comparative,before,after,notevaluated,sourcereliability,transparentcollectionprocess,uncertaintyawareness,equality,comparisonofstructures,guidance,outliers,familiarity,understanding,debugging,refinement,comparison,knowledgeability,fairness,experience,situcomparison,performance,whatif,modelbias,modelvariance,colleagues,evaluation,metrics,userbias,beginners,practitioners,developers,mlexperts
2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2008,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,6,6,6,0,6,6,0,0,6,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,6,6,0,0,0,0,0,6,6,6,6,6,0,6,6,6,6,0,0,6,0,0,6,6,0,0,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,6,0,0,6,6,0,6,6,0,6,6,0,6,6,0,0,6,0,6,6,6,0,6,6,6,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,6,6
2010,0,0,8,8,8,8,0,8,0,8,8,8,0,8,8,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8,8,8,0,0,8,8,8,8,0,0,8,8,8,8,8,8,8,8,8,8,8,8,0,8,0,8,8,8,0,8,8,8,0,0,8,8,0,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,0,0,8,8,8,0,0,0,8,8,8,0,8,8,8,8,0,0,0,8,8,8,0,8,0,8,8,8,8,8,8,8
2011,9,9,9,0,9,0,0,0,9,9,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,9,9,9,9,0,9,9,0,0,0,0,9,0,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,0,9,9,9,9,9,0,0,9,0,9,9,9,0,9,0,9,9,0,0,0,9,9,0,0,9,0,9,9,0,9,9,0,9
2012,9,0,9,0,0,9,9,0,0,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,9,9,0,0,0,9,9,0,0,0,0,0,9,9,9,9,9,0,9,9,9,9,9,0,9,9,0,9,9,0,9,0,9,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,9,0,0,9,9,9,9,0,9,9,9,9,0,9,9,9,0,0,0,9,9,9,0,0,0,0,9,9,0,0,9,9,9
2013,3,0,0,0,3,0,0,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,3,3,0,3,0,3,3,3,3,0,3,3,3,0,3,3,3,0,0,3,0,0,3,3,0,3,0,0,3,3,3,0,3,0,3,3,0,3,3,3,0,3,3,0,0,3,0,3,0,0,0,0,3,0,3,0,3,3,3,0,3,0,0,0,3,3,3,3,0,3,3,0,0,3,0,3
2014,0,0,14,14,14,14,0,14,0,14,0,14,14,14,14,14,0,0,0,0,0,0,0,0,14,14,14,14,14,0,14,14,14,0,14,14,14,0,0,0,0,14,14,14,14,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14,0,14,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14,0,14,14,14,0,0,14,14,14,14,14,0,14,14,14,14,0,0,0,14,14,14,14,14,0,14,14,0,0,14,14,14
2015,0,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,0,0,12,0,0,0,0,0,0,12,12,0,0,0,12,12,12,0,12,0,12,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0,12,0,12,12,12,0,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,0,12,12,12,12,0,0,0,12,12,12,0,0,12,12,12,0,12,12,12,12
2016,15,15,15,0,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,0,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,0,0,0,15,15,15,15,0,15,15,15,15,0,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15
2017,23,23,23,0,23,23,23,0,23,23,23,23,23,23,23,23,0,0,23,0,0,0,23,23,23,23,23,23,0,0,23,23,23,23,0,23,23,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,23,23,23,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,0,23,23,23,23
2018,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0,44,44,44,44,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2019,45,45,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,45,45,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
2020,44,44,44,0,44,44,44,0,44,44,44,44,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2021,88,88,88,0,88,88,88,88,88,88,88,88,88,88,88,88,88,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
2022,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0,96,96,96,96,96,96,96,96,96,96,96,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
2023,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
